alpha,cd
-28.0,0.3185840280022926
-27.0,0.3031407153909779
-26.0,0.29282377180294583
-25.0,0.22126026182823244
-24.0,0.18265065130309727
-23.0,0.13727656316823464
-22.0,0.10091927087174785
-21.0,0.07803709799344663
-20.0,0.06247200682943464
-19.0,0.05045519112424025
-18.0,0.04104887241609081
-17.0,0.03391081929504689
-16.0,0.02841227902238868
-15.0,0.022919296793441304
-14.0,0.01897913482524394
-13.0,0.01636603371220635
-12.0,0.014553937838899592
-11.0,0.013099122932400785
-10.0,0.011581461212917055
-9.0,0.010194923937237543
-8.0,0.009578765162115763
-7.0,0.008903686790070557
-6.0,0.008249765477787746
-5.0,0.0075717245484803655
-4.0,0.0065625542138664115
-3.0,0.005065326546726229
-2.0,0.004734534803921796
-1.0,0.004596463429989308
0.0,0.004530209436057929
1.0,0.004596457128637095
2.0,0.0047345216517260475
3.0,0.0050653047832397696
4.0,0.006562521331224802
5.0,0.007571659938687795
6.0,0.008249651489813863
7.0,0.008903522798365862
8.0,0.009578505753714774
9.0,0.010194854627391758
10.0,0.011581257699320035
11.0,0.013098792575251886
12.0,0.014550874326394297
13.0,0.016359519425778547
14.0,0.018967233260184645
15.0,0.022902193167753333
16.0,0.02835958218382831
17.0,0.033840510114238616
18.0,0.040952439727378685
19.0,0.050330945799847746
20.0,0.06229066387989006
21.0,0.07779161359226687
22.0,0.1005554309414409
23.0,0.13711680120973815
24.0,0.18298251276432484
25.0,0.2220413169284858
27.0,0.3053783465740176
28.0,0.2956390295087033
29.0,0.31310608254552935
30.0,0.32767749544671193
