alpha,cl
-29.0,-0.95970352201801
-28.0,-0.9323911755321834
-27.0,-0.9042132561604812
-26.0,-0.8771702315245826
-25.0,-0.8556205462244056
-23.0,-1.0917007925863405
-22.0,-1.2115118109998966
-21.0,-1.305653116477855
-20.0,-1.3545099231229412
-19.0,-1.3732215100856455
-18.0,-1.370924692235885
-17.0,-1.3563722262296367
-16.0,-1.3611445873041563
-15.0,-1.3257202073694474
-14.0,-1.2791465599614658
-13.0,-1.2280104792734052
-12.0,-1.1750790444214014
-11.0,-1.1307888534761206
-10.0,-1.0203151502174768
-9.0,-0.8477602211537048
-8.0,-0.7681545327897055
-7.0,-0.6843252035238346
-6.0,-0.5929190909931737
-5.0,-0.4987000700303034
-3.0,-0.32632958109717564
-2.0,-0.21927071549171373
-1.0,-0.11034604337124981
0.0,-4.62759171260263e-14
1.0,0.11034607364384763
2.0,0.2192708460711666
3.0,0.3263299578830653
5.0,0.49870492649919346
6.0,0.5929291535995836
7.0,0.6843446352637309
8.0,0.7681923382982234
9.0,0.8478749198284274
10.0,1.0205499841450791
11.0,1.131186788030785
12.0,1.175487340380905
13.0,1.2287081517634966
14.0,1.280164360823595
15.0,1.327089530340492
16.0,1.3628104295267982
17.0,1.357625275823132
18.0,1.3737742609247432
19.0,1.3765369834852503
20.0,1.3582326943336334
21.0,1.3099463845509556
22.0,1.216067790643966
23.0,1.094687307093102
