alpha,cm
-30.0,0.11810525267909648
-29.0,0.10850049334764188
-27.0,0.0893490358768305
-26.0,0.08030396921766479
-25.0,0.06992913296195226
-24.0,0.06202394208208159
-22.0,0.04416201786353502
-20.0,-0.015715865165288244
-19.0,-0.03225446537276405
-18.0,-0.041906195752771394
-17.0,-0.046034454477303616
-16.0,-0.04728394731933705
-15.0,-0.04629546338758093
-14.0,-0.04362046545789403
-13.0,-0.03982194277370569
-12.0,-0.03349333168186113
-11.0,-0.024214515901500228
-10.0,-0.011010581257358836
-9.0,-0.010583402990849042
-8.0,-0.01831529419955063
-7.0,-0.022889736676569055
-6.0,-0.01699876125059436
-5.0,-0.010754442917904809
-4.0,-0.0037611342135766257
-3.0,-0.0021386964448968948
-2.0,-0.0011141274185542608
-1.0,-0.000378479765784491
0.0,9.30761555873369e-15
1.0,0.00037846725887348955
2.0,0.0011140712525972254
3.0,0.0021385471527866212
4.0,0.0037607961414828197
5.0,0.010753238417372801
6.0,0.01699556503157435
7.0,0.022882767580254166
8.0,0.018292246032783913
9.0,0.010540805040315416
10.0,0.010976379051156756
11.0,0.024153416412496874
12.0,0.033401965647845394
13.0,0.03967492810014723
14.0,0.04343499460639591
15.0,0.0460674602827899
16.0,0.04701644194829914
17.0,0.045729551440657615
18.0,0.04155620567747858
19.0,0.031741856418304286
20.0,0.015261755896629299
22.0,-0.03263685360392757
25.0,-0.05569961668937678
26.0,-0.06379167173921031
27.0,-0.07138887785822454
30.0,-0.09398715185767059
