alpha,xsep
-30.0,2.8847427116899713e-5
-29.0,2.8847427116899713e-5
-27.0,2.8847427116901123e-5
-26.0,2.8847427116901123e-5
-25.0,2.8847427116901123e-5
-24.0,0.00025552309741935905
-23.0,0.00025552309741935905
-22.0,0.000705969547724714
-21.0,0.000705969547724714
-20.0,0.0013895315362872924
-18.0,0.0013895315362872924
-17.0,0.21290946137445663
-16.0,0.4144502150445044
-15.0,0.5238822635876058
-14.0,0.6035790172840869
-13.0,0.6678422181010015
-12.0,0.7164640349295974
-11.0,0.7822465579689316
-10.0,0.8483068107560269
-9.0,0.9136297808963584
-8.0,0.9940340577601507
-7.0,1.0
-6.0,1.0
-5.0,1.0
-4.0,1.0
-3.0,1.0
-2.0,1.0
-1.0,1.0
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,0.9940340577601507
11.0,0.9298907618967441
12.0,0.9940340577601507
13.0,0.9940340577601507
14.0,0.9940340577601507
15.0,0.9940340577601507
16.0,0.9940340577601507
17.0,0.9940340577601507
18.0,0.9940340577601507
20.0,0.9940340577601507
21.0,0.9940340577601507
23.0,0.9940340577601507
24.0,1.0
25.0,1.0
26.0,1.0
27.0,1.0
29.0,1.0
30.0,1.0
